"sim_no","mitigation","prob","surveillance","test_days","test_type","start_type","n_HH","test_sens","total_days","run_specials_now","child_trans","teacher_trans","high_school","p_asymp_adult","p_asymp_child","p_subclin_adult","p_subclin_child","mult_asymp","mult_asymp_child","quarantine.length","quarantine.grace","turnaround.time","n_other_adults","n_class","test_quarantine","disperse_transmission","dedens","n_start","days_inf","time","n_contacts","n_staff_contact","rel_trans_child_symp_HH","rel_trans","start_mult","test_start_day","n_tot","isolate","no_test_vacc","time_seed_inf","seed_asymp","overdisp_off","num_adults","version","include_weekends","rel_trans_adult","rapid_test_sens","adult_unvax_hosp_rate","child_unvax_hosp_rate","adult_vax_hosp_rate","child_vax_hosp_rate","type","variant.attack","vax.rates","notify.scenario","vax_eff","attack.df","child.vax","teacher_susp","child_susp","family_susp","notify","test","test_frac","i","rel_trans_HH","rel_trans_CC","adult_prob","child_prob","class"
4,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,4,2.5,1.25,6e-04,0.000472727272727273,2
4,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,4,2.5,1.25,6e-04,0.000472727272727273,2
5,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,5,2.5,1.25,6e-04,6e-04,2
5,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,5,2.5,1.25,6e-04,6e-04,3
5,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,5,2.5,1.25,6e-04,6e-04,13
6,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,6,2.5,1.25,6e-04,6e-04,4
6,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,6,2.5,1.25,6e-04,6e-04,0
6,0.2,0.00039,TRUE,"week","all","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,6,2.5,1.25,6e-04,6e-04,0
7,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.056,0,0.5,0.5,0.5,TRUE,FALSE,0,7,2.5,1.25,6e-04,0.00039,11
7,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.056,0,0.5,0.5,0.5,TRUE,FALSE,0,7,2.5,1.25,6e-04,0.00039,17
7,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.056,0,0.5,0.5,0.5,TRUE,FALSE,0,7,2.5,1.25,6e-04,0.00039,13
8,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.w.test90",0.7,0.056,0,0.5,0.5,0.5,TRUE,TRUE,0.9,8,2.5,1.25,6e-04,0.00039,1
8,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.w.test90",0.7,0.056,0,0.5,0.5,0.5,TRUE,TRUE,0.9,8,2.5,1.25,6e-04,0.00039,16
8,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.w.test90",0.7,0.056,0,0.5,0.5,0.5,TRUE,TRUE,0.9,8,2.5,1.25,6e-04,0.00039,22
9,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.wo.test",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,FALSE,0,9,2.5,1.25,6e-04,0.000472727272727273,18
9,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.wo.test",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,FALSE,0,9,2.5,1.25,6e-04,0.000472727272727273,4
9,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.wo.test",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,FALSE,0,9,2.5,1.25,6e-04,0.000472727272727273,9
10,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,10,2.5,1.25,6e-04,0.000472727272727273,20
10,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,10,2.5,1.25,6e-04,0.000472727272727273,5
10,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,10,2.5,1.25,6e-04,0.000472727272727273,5
11,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,11,2.5,1.25,6e-04,6e-04,14
11,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,11,2.5,1.25,6e-04,6e-04,0
11,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,11,2.5,1.25,6e-04,6e-04,3
12,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,12,2.5,1.25,6e-04,6e-04,12
12,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,12,2.5,1.25,6e-04,6e-04,6
12,0.2,0.00039,TRUE,"week","staff","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,12,2.5,1.25,6e-04,6e-04,5
13,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.056,0,0.5,0.5,0.5,TRUE,FALSE,0,13,2.5,1.25,6e-04,0.00039,6
13,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.056,0,0.5,0.5,0.5,TRUE,FALSE,0,13,2.5,1.25,6e-04,0.00039,13
13,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.wo.test",0.7,0.056,0,0.5,0.5,0.5,TRUE,FALSE,0,13,2.5,1.25,6e-04,0.00039,13
14,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.w.test90",0.7,0.056,0,0.5,0.5,0.5,TRUE,TRUE,0.9,14,2.5,1.25,6e-04,0.00039,8
14,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.w.test90",0.7,0.056,0,0.5,0.5,0.5,TRUE,TRUE,0.9,14,2.5,1.25,6e-04,0.00039,2
14,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c0","yes.w.test90",0.7,0.056,0,0.5,0.5,0.5,TRUE,TRUE,0.9,14,2.5,1.25,6e-04,0.00039,9
15,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.wo.test",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,FALSE,0,15,2.5,1.25,6e-04,0.000472727272727273,7
15,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.wo.test",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,FALSE,0,15,2.5,1.25,6e-04,0.000472727272727273,2
15,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.wo.test",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,FALSE,0,15,2.5,1.25,6e-04,0.000472727272727273,10
16,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,16,2.5,1.25,6e-04,0.000472727272727273,3
16,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,16,2.5,1.25,6e-04,0.000472727272727273,13
16,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c25","yes.w.test90",0.7,0.056,0.25,0.5,0.5,0.5,TRUE,TRUE,0.9,16,2.5,1.25,6e-04,0.000472727272727273,4
17,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,17,2.5,1.25,6e-04,6e-04,5
17,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,17,2.5,1.25,6e-04,6e-04,7
17,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.wo.test",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,FALSE,0,17,2.5,1.25,6e-04,6e-04,4
18,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,18,2.5,1.25,6e-04,6e-04,2
18,0.2,0.00039,TRUE,"week","students","cont",1,0.8,5,TRUE,0.5,1,FALSE,0.2,0.4,0.2,0.4,0.5,1,5,3,0,30,5,TRUE,FALSE,1,0,5,30,10,5,2,0.125,0,1,100,TRUE,FALSE,NA,FALSE,TRUE,2,2,TRUE,2,0.8,0.024,0.001,0,0,"base",0.07,"t50.c50","yes.w.test90",0.7,0.056,0.5,0.5,0.5,0.5,TRUE,TRUE,0.9,18,2.5,1.25,6e-04,6e-04,2
